Point	Label	1	2	3	4	5	
595	I	0	1	0	0	1	
596	V	1	0	1	1	0	
597	J	0	1	0	1	0	
598	Z	1	1	0	0	0	
599	S	1	0	0	1	1	
600	Z	1	1	0	0	0	
601	U	1	0	1	0	1	
602	A	0	0	0	0	1	
603	E	0	0	1	0	1	
604	B	0	0	0	1	0	
605	Z	1	1	0	0	0	
606	Q	1	0	0	0	1	
607	G	0	0	1	1	1	
608	M	0	1	1	0	1	
609	D	0	0	1	0	0	
610	F	0	0	1	1	0	
611	C	0	0	0	1	1	
612	L	0	1	1	0	0	
613	A	0	0	0	0	1	
614	E	0	0	1	0	1	
615	B	0	0	0	1	0	
616	N	0	1	1	1	0	
617	H	0	1	0	0	0	
618	O	0	1	1	1	1	
619	W	1	0	1	1	1	
620	N	0	1	1	1	0	
621	C	0	0	0	1	1	
622	L	0	1	1	0	0	
623	J	0	1	0	1	0	
624	F	0	0	1	1	0	
625	C	0	0	0	1	1	
626	L	0	1	1	0	0	
627	F	0	0	1	1	0	
628	M	0	1	1	0	1	
629	D	0	0	1	0	0	
630	E	0	0	1	0	1	
631	K	0	1	0	1	1	
632	N	0	1	1	1	0	
633	N	0	1	1	1	0	
634	K	0	1	0	1	1	
635	T	1	0	1	0	0	
636	I	0	1	0	0	1	
637	N	0	1	1	1	0	
638	I	0	1	0	0	1	
639	M	0	1	1	0	1	
640	B	0	0	0	1	0	
641	N	0	1	1	1	0	
642	Z	1	1	0	0	0	
643	T	1	0	1	0	0	
644	J	0	1	0	1	0	
645	G	0	0	1	1	1	
646	A	0	0	0	0	1	
647	L	0	1	1	0	0	
648	N	0	1	1	1	0	
649	N	0	1	1	1	0	
650	G	0	0	1	1	1	
651	M	0	1	1	0	1	
652	B	0	0	0	1	0	
653	H	0	1	0	0	0	
654	I	0	1	0	0	1	
655	M	0	1	1	0	1	
656	B	0	0	0	1	0	
657	M	0	1	1	0	1	
658	R	1	0	0	1	0	
659	O	0	1	1	1	1	
660	D	0	0	1	0	0	
661	L	0	1	1	0	0	
662	M	0	1	1	0	1	
663	D	0	0	1	0	0	
664	E	0	0	1	0	1	
665	I	0	1	0	0	1	
666	G	0	0	1	1	1	
667	O	0	1	1	1	1	
668	B	0	0	0	1	0	
669	K	0	1	0	1	1	
670	C	0	0	0	1	1	
671	N	0	1	1	1	0	
672	N	0	1	1	1	0	
673	J	0	1	0	1	0	
674	G	0	0	1	1	1	
675	A	0	0	0	0	1	
676	M	0	1	1	0	1	
677	B	0	0	0	1	0	
678	H	0	1	0	0	0	
679	K	0	1	0	1	1	
680	V	1	0	1	1	0	
681	I	0	1	0	0	1	
682	A	0	0	0	0	1	
683	N	0	1	1	1	0	
684	K	0	1	0	1	1	
685	V	1	0	1	1	0	
686	K	0	1	0	1	1	
687	C	0	0	0	1	1	
688	S	1	0	0	1	1	
689	G	0	0	1	1	1	
690	O	0	1	1	1	1	
691	Z	1	1	0	0	0	
692	Q	1	0	0	0	1	
693	Z	1	1	0	0	0	
694	W	1	0	1	1	1	
695	C	0	0	0	1	1	
696	G	0	0	1	1	1	
697	A	0	0	0	0	1	
698	L	0	1	1	0	0	
699	E	0	0	1	0	1	
700	S	1	0	0	1	1	
701	F	0	0	1	1	0	
702	N	0	1	1	1	0	
703	C	0	0	0	1	1	
704	X	0	0	0	0	0	
